HITId	tweet	directness
770	I wanna fuck a dyke so bad \ud83d\ude2d	indirect
4239	@user Nah. It was clearly not a joke and I don't know a single thing about the person and he already seems like a twat.	indirect
5338	Shut up chink spic \u2014 go suck your mom redneck @URL	indirect
5266	one of my irls is chinese and whenever she educates this girl to not say ‘ching chong’ and shit the girl goes “it’… @URL	indirect
2022	Low IQ: \Is he a spic?\\n\nAvg IQ: \Is this false flag\\n\nHigh IQ: \Why did he paint hair on his head?\ @URL	indirect
2800	@user I'd assume \nonce\ is like we say \retard\. Very harsh	indirect
2287	@user If you spell American as amerikkkan you\u2019re a retard in my book	indirect
4893	Fucking cunt @URL	indirect
3088	@user It's stunning.\nThis guy is actually retarded.	indirect
4794	@user Patience is not practiced on door steps. This retard got what he deserved he should be in a mental asylum.	indirect
3711	shut up nigger @URL	direct
34	@user Now do it ching chong style	indirect
888	@user sjsksk i love you more you twat	indirect
1985	remembering how retarded I was when I was fifteen and sixteen \ud83d\ude12\ud83d\ude11	indirect
3270	@user @user @user I don\u2019t generally use the term \u201cretard\u201d but using your words if\u2026 @URL	indirect
5336	@user Since Obama took office only illegal aliens are innocent until proven guilty. Then the are let go with welfare benefits.	indirect
1928	@user Good going fucking retarded bots on that plane \u2018take him off the plane! We love costing the Briti\u2026 @URL	indirect
5101	Angela Merkel Hitler ss-45326 nazi anti semitic terrorist she's crazy stupid retarded asshole she sick in the head\u2026 @URL	direct
1760	@user Well it was The WASP that settled the country why not everyone go back to your country of origin...If… @URL	direct
5005	Gotta get that makeup spic and span \n#spookyspoofy2018 @URL	indirect
1905	We’re next y’all. GOP gonna be all ching chong ding dong for 2024 @URL	indirect
4984	@user @user @user Omg so dumb and how did I threaten you retard	direct
3229	@user @user @user Yes I feel like right wingers would do what they do as would the leftist when they can\u2026 @URL	indirect
4964	@user Im talking abt hair negro	direct
4701	@user mr tweed? Mr twat	indirect
1080	Attention: the shithole countries are coming here and it won't be very nice	indirect
4188	@user @user @user Fortunately for me I don't give a fuck what you think twat features.\u2026 @URL	indirect
2842	TAMMY BRUCE: When foreigners bring disease across the border - Washington Times @URL	indirect
4119	If you're reading this you're a twat #AdrianBot	indirect
59	Let them rot in the shithole they chose. Never ever ever let them near our country @URL	indirect
3196	@user Yes very retarded	direct
2667	Good for you Minnesota! Vote for her if you want you country to look like shithole Somalia\nDon't forget\u2026 @URL	direct
228	lily really is the best dyke ever	indirect
2173	Imagine your boyfriend blocking you on everything everytime he goes out... weird cunt	indirect
2918	@user When I see faggot i floor it	direct
4563	terrorist leftist	indirect
1323	@user @user Punt those feminazi's through the uprights and let's get Kavanaugh confirmed.	indirect
3938	the best nigger rolf meme @URL	indirect
4376	Fact: if your boyfriend is a cunt to your mates and you allow it you\u2019re an even bigger cunt.	indirect
48	My baby daddy a retarded bitch	indirect
896	@user Suspicion is upstairs old chinaman neighbor feigning mental illness since 3 years ago slamming his g\u2026 @URL	indirect
3838	It\u2019s nice to have people where you can just be you without judgment. Be a cunt be sweet be an asshole laugh but\u2026 @URL	indirect
3498	twat.	direct
2672	@user Everyone would love to twat there boss he just carried it out! \ud83e\udd4a	indirect
3851	Unless you\u2019re a Muslim a Mexican or from a shithole country.\n\ntrumpian hypocrisy is unparalleled and knows no bou\u2026 @URL	indirect
4864	The audacity of men. I don\u2019t owe you shit ya fuckin twat \ud83e\udd26\ud83c\udffc\u200d\u2640\ufe0f\ud83d\udc81\ud83c\udffc\u200d\u2640\ufe0f	indirect
3821	are the conservatives really trying to say the Austin Mail Bomber was a radical leftist terrorist	indirect
63	When people get offended by insults and jokes with words like retarded autistic faggot etc. @URL	indirect
3629	@user It’s okay to be white like it’s okay to be blackbrown or yellow#	indirect
4258	she got that head like a dyke she got the head that I like\ud83e\udd2a @URL	indirect
5532	It's a thick ass dyke in here dancing and this dude went up behind her and started grinding on her \ud83d\ude02\ud83d\ude02\ud83d\ude02 she kept dancing tho \ud83d\ude2d\ud83d\ude2d\ud83d\ude2d	indirect
2000	forms is the dumbest fucking spic i\u2019ve ever met	indirect
3752	Mf love pulsing games with me like I ain\u2019t retarded already	indirect
5292	I\u2019m a MOTHER first \ud83d\ude02 then a crazy retarded ass bitch right after that \ud83d\udc81\ud83c\udffd\u200d\u2640\ufe0f\ud83e\udd23	indirect
3307	@user @user Hard when u playing a better team &amp; ya manager a retard	indirect
1536	@user Like who Kris commons the soup taker \ud83d\ude02\ud83d\ude02	indirect
4489	@user @user Absolutely! They belong where they originated in the raghead Arab middle eastern natio\u2026 @URL	indirect
4053	@user No he\u2019s a faggot	indirect
1944	3) Only in America are legal citizens labeled racists and Nazisbut illegal aliens are called Dreamers.	indirect
5168	@user Doreen with a few snacks returns to the room to find verything spic and span including her clothes a\u2026 @URL	indirect
3055	if u say “ching chong” while looking at chinese characters and say ur not racist u dumb fucking bitch ur racist.	indirect
3226	@user Wait. lost control am in dyke w/ her @URL	indirect
4986	Whoever wins that lottery called me a faggot and a wetback a few years back.	indirect
451	@user I'm trying to be as politically correct as possible here. Mam you are fucking retarded	direct
3878	@user Gotcha. Always a fan of seeing the faggot-word out in the wild.	indirect
1306	@user Wow. I couldn't even guess a quote from my favorite Marvel movie. Im a retard	indirect
2677	\Niggaz wanna strip you to the bone fa shit chu own / Hate a nigga like that...faggot get cha own\ #LuckyMe	indirect
2339	Sarah Silverman has gone \u2018Full retard\u2019\n @URL	indirect
5456	@user thats retarded	indirect
5022	Glass jawed faggot. Mind you that was a fair crack he took there. \ud83d\udc4a\ud83d\udc4a @URL	direct
3576	@user @user @user @user @user The twat doesn't invest though. It's interest free\u2026 @URL	indirect
895	This guy\u2019s a fucking retard lmfao @URL	direct
2004	@user @user @user Those toddlers are illegal aliens whose parents broke the law...DUMMY. You left out “white guy”	indirect
5638	My thing is that I am a faggot and I\u2019m hot	indirect
1851	@user Note: Requires them to be an absolute retard and miss the clam throw when nobody is pressuring them first.	indirect
3376	we do the story so fucking retarded	indirect
235	ngl i have never laughed so hard at a random ching chong video depicting unfortunate events. wait for it.… @URL	indirect
2314	Oh no the mongoloid brigade have come out to troll... #cpfc @URL	indirect
5485	Crap... so tired just realised by the responses i got I'd posted on wrong profile. \ud83d\ude02\ud83d\ude48\ud83d\ude06 twat.. haha \ud83e\udd23	indirect
1010	#FunFact\nYou are a faggot	indirect
4415	Niggas be mad at you cause u not retarded	indirect
5448	Rondo is a retard lmao I'll kill myself	indirect
3340	@user @user Corporate 'rawk' magazines by retarded little boys who imagine they remember those thirt\u2026 @URL	indirect
5018	The difference is Obama doesn\u2019t say he\u2019s against all immigration from \u201cshithole\u201d countries. Conservatives like myse\u2026 @URL	indirect
4005	@user Ok spic	direct
1635	@user @user @user Well I don't agree Mary. My tweet was a joke. Stephen is a twat who will be re\u2026 @URL	indirect
1204	My WiFi acting retarded .. see y\u2019all tomorrow Comcast	indirect
3722	@user @user @user What a cunt	indirect
4539	@user fucking ching chong retards	indirect
1482	We're entering the age of retarded terrorists.	indirect
2043	Which America turned out to be the best land for civilized people or negro people because there are less' earthqua… @URL	indirect
22	retarded toxic femininity \ud83d\ude2a @URL	indirect
2759	the biggest L i ever took in my life was finding out raghead used to be a yoongi stan	indirect
2058	I\u2019m the same spic driving the same Infiniti and smoking the same pot here and in the real world. @URL	direct
1149	@user @user As a great patriot mentioned in another twat....they could have easily gone to any US emba\u2026 @URL	indirect
216	In #pedo speak 'hotdogs' means little boys.\n\nSo muslim faggot @user imported a bunch of black kids from Chi\u2026 @URL	indirect
4504	\u201cgirl you should go dress like a mongol pencil this halloween since you\u2019re so used to being #2\u201d \n\nLOUDER FOR THE PEOPLE AT THE BACK!!!!!	indirect
2378	This is retarded. Ya Idaho	indirect
2719	@user @user Ukranians are not refugees. They are migrant workers.	indirect
1907	Who\u2019s the retard at Epic who thought monsters was a good idea	direct
1754	@user @user @user Grant asked me to come but it was so short notice the retard should\u2019ve picked me up\u2026 @URL	indirect
4437	@user \ud83d\udc40\ud83d\udc40\ud83d\udc40\ud83d\udc40\ud83d\udc40\ud83d\udc40looks spic and span i want to have a go\ud83d\ude05	indirect
1841	@user Shut up negro	direct
2485	@user @user @user @user ching chong eat dog	indirect
3250	I wish I could be around to see one of those \shithole-countries\ rule the world one day. (Better yet for Trump to still be around.)	indirect
1371	Now just retarded. Okay perfect.	indirect
1130	my camera quality on snap retarded before i take it its cool but when the photo actually comes out its trash \ud83d\ude2d	indirect
1735	Dear mongy stoke \u2018fans\u2019 can ya stop fighting or whatever is it you\u2019re doing outside the ground so my coach can leave.. \ud83d\ude44\ud83d\ude02 #scfc #StokeCity	indirect
1814	@user Stick a rag round her head an shut the cunt up. Still bad enough we\u2019ve gotta endure her shite song twenty years later	direct
1641	@user @user Whichever one of you who shot bodies is in my bad books. Getting pure mongy tweets	indirect
3194	@user @user @user Personally I’m sick of the billions thrown st the refugees. Secure the borde… @URL	indirect
4656	@user @user you cloven hoofed yeast infection.\n\nFuck your empty complicit twat. You're as useless a\u2026 @URL	direct
466	@user @user I know English not retard. But appreciate the heads up	indirect
5043	@user @user You don't tell the President what to do. \n\nSafety of our Country???? You people want a shithole\u2026 @URL	indirect
3863	I would be even happy for India losing this match if stat mafia would shut their mouth after this. \n\nBut sadly chinaman.	indirect
4342	@user in his 50s \ud83d\ude2d @URL	indirect
3533	Help this fast chinaman out @URL	indirect
5412	#VoteRed or #STFU and enjoy our #shithole full if ppl from other shithole countries ! \ud83c\uddfa\ud83c\uddf81st	indirect
633	@user Benitez is a useless cunt	direct
3460	@user @user You like being stupid right?\nShow proof mongoloid of that.	direct
5359	Why oh why am I such a fucking twat.	indirect
771	azerbaijan sucks i just want to get the hell out of this country and never come back to this shithole	indirect
5535	Thank you friend Daily reminder to unfollow for google is retarded it''s not doing anything	indirect
2989	@user @user ok spic	direct
4911	People are cunts\nCunt wrapped cunts with a warm cunt filling served on a bed of roasted cunts.	indirect
5211	On Sunday PM #ImranKhan expressed his desire to give #Pakistani #nationality to #Afghan and #Bengali #refugees. On… @URL	indirect
3832	@user \ud83d\ude2f\ud83d\ude2f\ud83d\ude2f\ud83d\ude2f\n\nHe'll be picking his fucking jaw up off the floor the cunt \ud83d\ude21	indirect
2412	@user @user @user I hope you're below the age of 18 saying something so utterly embarrassingly retarded.	indirect
1498	Always the nights you stopped drinking so you feel fine in the morning are the ones that cunt ya	indirect
3273	May the words of #immigrants motivate allies to act.	indirect
4531	@user It's okay to be white!	indirect
236	@user die nigger	indirect
3210	The murderer and the president?!?!? \n\nHas the president murdered anyone?\n\nYou're mentally retarded you need an eva\u2026 @URL	indirect
3947	my name is spic now? lol copy BUT LET me all you one of the MANY names society got for you. then wanna cry racism. @URL	indirect
426	@user is a faggot no cap \ud83d\udcaf\ud83d\ude02	indirect
4566	rey’s evil ass coming to spoil the fun: nigger.	indirect
1378	I don't need @user You can tell me I'm a twat right here!	indirect
2178	@user eurafrica had a trial run in south africa and rhodesia	indirect
206	For your information @user you absolute twat the reason SJWs told me I deserve to get \gaybashed\ was ju\u2026 @URL	direct
1338	me : h-\n\nadam : me ling ling ching chong me eat dogs	indirect
3436	If you think the hashtags at the end of this tweet are extreme left feminazi propaganda you need… @URL	indirect
854	@user dm fucking retard	indirect
3370	I added a video to a @user playlist @URL Mega faggot sound effect	indirect
4146	He will probably cry bite his pillow and demand a recount when the hypocritical twat loses his seat at the next GE\u2026 @URL	indirect
2852	videos grandpas fat gay fucking gay grandpas negro gay masturbation peperonity gay fetish pics	direct
540	Wealthy would-be immigrants told to lie about their assets intentions — even their identity | CBC News @URL	indirect
1592	Old guy bangs young twat @URL	indirect
359	Disgusting attention seeking twat! @URL	indirect
2250	@user Trump never called the Middle East \shithole countries.\ Another lie. He went to Saudi Arabia and love\u2026 @URL	indirect
2988	Make sure your place is at least spic and span before inviting a Leo over.	indirect
1691	@user Stupid spic	direct
3442	Y\u2019all sound #nohoes &amp; retarded that suspension was a blessing in disguise .. do y\u2019all hoop? or just galavant wit th\u2026 @URL	indirect
2708	I remember being on Xbox live in 2012 and getting called a spic just cause I spoke Spanish for 2 seconds y\u2019all was\u2026 @URL	indirect
989	I took 4 years of these accusations seriously and i get a lot of my cold faggot	direct
1803	@user Only if I can be a faggot with you &lt;3	indirect
1681	@user @user @user Well he did say he wants immigrants with blue eyes and did call us shithole countr\u2026 @URL	indirect
3826	@user All feminists are worth is a nut that’s it any nigga showing off his feminazi girlfriend is close to euthanasia	direct
2002	@user im a retard	indirect
4905	@user He's an absolute twat	indirect
2657	@user Pure frustration I think. He\u2019s deleted tweet now. Only he knows If he\u2019s made a mistake or just a complete twat.	indirect
4355	We have some fucking retarded fans. Durrr JG lost this game because our defense couldn't stop them...durrrr	indirect
2494	@user @user Trump referred to Haiti and African nations as 'shithole' countries @URL @URL	indirect
5570	#LeMotDuJour retard	indirect
5138	Your country's an honest-to-God shithole. Fuck off irrelevant foreigner. Former leader of the murder capital of th\u2026 @URL	indirect
3339	white people are retarded lol #confirmed @URL	indirect
4999	keep ya head up lil nigger	indirect
2539	\Okay aku mengaku diri aku hensem\ - random kiddo otw to became faggot.... Hahahaha ... i wish i had that level of\u2026 @URL	indirect
2529	scrapped\n\n\u266b: cat soup - aquinas\n\n[@user / @user / @user @URL	indirect
3740	look at those hands are they shithole countries hands?	indirect
3020	Won't have time to bloody drive to Swansea tho will he the faggot	indirect
3594	mdr macron demolit la franceaccepte le terrorismeles migrantsNON se serra pas lui qui protegera la france et le… @URL	indirect
1633	so oomf is mexican and he just called me a nigger	indirect
3733	\u201cNo shithole country. No shithole country. You\u2019re the shithole countries!\u201d	direct
1059	@user @user I'll fight a dyke @URL	indirect
105	it truly fucking BAFFLES me when people genuinely fucking think that saying \u201cching chong ling lang ding\u201d is actuall\u2026 @URL	indirect
2632	ching chong ching chong	indirect
4054	@user @user Canelo still bounces that big mongoloid about	indirect
282	@user @user Are we forgetting the group of mongy Stoke fans waiting outside for when we left the ground? You\u2026 @URL	indirect
5137	How you gon hate on man lmao go live your life you sour twat and stay spectating	indirect
5001	Donald you stupid faggot son of a bitch you\u2019re right! @URL	indirect
1112	blunt and cunt rhyme for a reason bitch	indirect
2712	@user Chinese ching chong carried by korean as always	indirect
1936	@user do you just retweet buzzfeed news and pretend to be a retard. I mean hey its a good bit(my bit is the same\u2026 @URL	indirect
653	First class mongy cunt me when I think back to decisions I've made in the past	indirect
1492	@user WTF are you saying? We did not cause their shithole countries to collapse. Your example of destroying my\u2026 @URL	indirect
4982	Day 3 (oui je suis en retard) : Baby - The Shoes ft Holly Cook	indirect
5397	Fucking retard! @URL	indirect
4088	He’s actually lowkey always been THAT nigger @URL	indirect
2429	When you getting paid 100/hr to pick cotton &amp; they call u nigger @URL	indirect
11	children = 52% of refugees	indirect
133	@user @user @user @user @user You're skipping over the shithole cities. \nDetro\u2026 @URL	indirect
323	That nigger really said that niggaz won't listen to his album because he's gay?	indirect
2255	@user @user Glad to help! \ud83d\udc4a\n\nTrisomy 21 is the cause of \mongoloid idiocy\	indirect
849	@user check out this twat. @URL	indirect
3268	Remind me of the time my homegirl was dating this dyke and neither one of them could open the jar of jelly lmao \ud83d\ude02 @URL	indirect
1511	@user yeah but the cunt will ask me about how I\u2019m goin n shit	indirect
432	@user I'm old school. Grew up with prejudice but it wasn't like this. Who was a Pollack Mick spic wop kik\u2026 @URL	indirect
5125	@user yeah retard haha	indirect
700	Hate helping chinese customers they diss me when I ask if they need help then coming talking ching chong to me when they need help	indirect
756	@user Yeah but nowadays if you so much as make eye contact with a feminazi she's gonna accuse you of rape	indirect
918	The 'militia' let loose on the refugees by Ar…	indirect
4894	Well i got all my Facebooks bk on the one's i don't use but only 1 left to get bk on wudnt do date of birth Facebook is a fucking twat ugh	indirect
4187	@user yea I see probably not posting that thing on Twitter again	indirect
252	Dave Roberts literally lost the game with his retarded bullpen moves	indirect
4962	We've played together online twice. You don't know jack shit about me faggot!	indirect
2883	someone I follow keeps retweeting this fuck u retard it sucks @URL	indirect
371	God doesnt make people retarded Chuck Norris does.	indirect
233	Libye: Plus de 100 morts dans le naufrage de deux bateaux de migrants @URL	indirect
5344	@user grow up retard	indirect
3262	If you get ice cream at ROLLD SLO you\u2019re a faggot	indirect
3128	@user @user You realize all the HATE that comes out of your #shithole gives these idiots fuel. YO\u2026 @URL	indirect
3703	I swear it gets cold out and mfs want to act retarded	indirect
4599	\u201cYou are getting twat\u201d\n\n\u201cEverybody wants that\u201d\n#GoIRISH #pasttenseoftweet	indirect
3619	ight goodnight.. alexa play ching chong bitch by woahhvicky	indirect
4465	@user Woke nigger	direct
3647	@user @user They are not thankful that they can live in Europe or Uk why demonstration for what go back to your country	indirect
4111	i get to see my retard tonight \ud83c\udf8a	indirect
1711	Fuck you dumbass bitch stupid ass idiot fucking crap load of bullshit useless ass cunt headass asshole its-impossib\u2026 @URL	indirect
123	oh well i try so hard to be his shithole countries-maybe someday that will happen!	indirect
2078	Look at this mongoloid. Two f*cking years later and he's cracked it. A real f*cking Alfred Eimstime @URL	indirect
2904	We cunt punting pussies with our tongues in 2019fuck the Free World!!! Do you wanna build a Snowman!?!? @URL	indirect
3508	@user \u201cYou went full retard never go full retard.\u201d @URL	indirect
2383	@user @user With this current crop of Conservatard mongoloid pundits she doesn't really have any good role models.	indirect
1272	#FridayFeeling #HeritageDay #JoyJoy #LandExpropriation #betterafricabetterworld @URL	indirect
761	ching chong. @URL	indirect
5220	me: *is a faggot* \neveryone else: get out of my face	indirect
3369	@user @user Yeah like cut the funding to illegal immigrants &amp; their anchor babies.	direct
1833	@user I swear .. white people are fucking retarded ...	indirect
1241	Can\u2019t even blame the players gotta blame the retarded ass coach	indirect
4093	@user That's retarded to be honest.	indirect
5609	Help my nigger help a nigger help Aniger	indirect
55	My grandma called me a faggot today that\u2019s a new low	indirect
1006	Machados a fucking twat.	indirect
5077	@user You can\u2019t be serious! It\u2019s daddy\u2019s fault you twat. You are living in lala land. You all make me sick. #FuckTrumps	indirect
4957	@user such a retard.	indirect
3029	celebrating??????? Curry is not gonna let you smash you gay mongoloid fuck	indirect
2790	Its okay I forgive u- u spic ;) @URL	indirect
2907	CP3 socked this nigga retarded \ud83d\ude2d @URL	indirect
3413	@user @user @user And the rest of the country couldn\u2019t give a fuck about your London shithole	direct
4403	Tyronn Lue is a retard	indirect
3007	I liked a @user video @URL Dormammu's faggot fireball bullshit!	indirect
3440	Im just tryna figure out if Rondo is retarded	indirect
2763	@user @user Give her the old spic stic	indirect
4233	So if you\u2019re opposed to using the word retard or retarded why would you think it\u2019s ok to use the word libtard?!	indirect
2735	trump: \... African-Americans come from shithole countries and Mexicans are rapists and murderers and the only good\u2026 @URL	indirect
3767	@user @URL lmao dieser sub is so retarded	indirect
815	And I was almost going to not have @user on today via Sling. Another day in the life in this shithole country. #PGH	indirect
2984	Now Trump's just making the country a shithole for millions and millions of people.	indirect
2240	@user ching chong ling long translate that	indirect
4177	So as new immigrants no one warned us about Halloween which hadn’t quite gone global yet in the early ‘80s. I reme… @URL	indirect
863	@user Coming thru \u270c\ud83c\udffe	indirect
1604	@user @user wtf ching chong why were you tagged here i-	indirect
2890	Sarah Silverman has gone total retard SMH @URL	indirect
2538	Are you retarded what the fuck @URL	indirect
5152	@user @user oui je ne comprends pas pourquoi ceux qui veulent accueillir les migrants n'en prennent pas… @URL	indirect
1262	Best tweet of all time! Fuck all spic countries! @URL	indirect
1875	I love pharmacists in this town even tho one is a total twat. He helped me out cos the other pharmacist was fawkn c\u2026 @URL	indirect
1358	Royal is right I'm retarded	indirect
5516	A nigger that votes our way.	direct
2748	Hate to give cunts like this the time of day but this cunt is a grade A retard. @URL	indirect
5285	@user Go on finish your sentence mongol	direct
2251	@user shut up ching chong.	indirect
5469	especially feeling saebom this evening... baby i\u2019m faggot :/	indirect
527	Well they have a job their job is being an activist and an ally to immigrants and the LGBTQ community...	indirect
5142	i haven't heard the phrase \ching chong\ since middle school	indirect
2690	why do you need to be friends with someone on epic to join them you stupid cunt what\u2019s ur fucking problem shit cunt @user	indirect
2052	@user i though i was ur ching chong brother \ud83d\ude16	indirect
1918	Donald Trump wants a wall across North Africa to keep refugees out of Europe @URL	indirect
1275	@user Sorry I can't translate that into spic for you.	direct
4189	@user wait a second this isn't ching chong	indirect
3610	ive seriously never seen a bigger faggot than pewwi	indirect
2371	she\u2019s retarded your honor @URL	indirect
941	@user @user @user Grid is shit you guys are retarded	indirect
2516	@user Tbh Yall over here acting like she done put ching chong on the dang on tweet. You know that it wasn't t\u2026 @URL	indirect
627	@user The article doesn't really say anything about spic's	indirect
1855	Quote me @user ure ah fukin retardah social retard....	indirect
1517	@user @user I agree Let Ukrainian refugees be better	indirect
2941	Roberts is retarded	indirect
2110	@user That\u2019s a pretty retarded tweet	indirect
4585	@user @user @user have gone full retard 1. added dab and floss in september and now floss	indirect
617	botherations nigger?	indirect
3523	@user @user Chinese people using 400 year old French curses and first generation Irish immigrants telli… @URL	indirect
5610	@user Maybe open borders and allowing people in from shithole countries where they don't value life is to b\u2026 @URL	direct
1560	@user ching chong wing wong	direct
2480	@user @user It's not timing it's being a complete cunt. End of. Don't ever moan again when it's done to you.	indirect
3847	@user why can i see ur retarded ass doin shit like this @URL	indirect
4131	@user Think its retarded.. metro was already jumping off tmobile towers I been a customer of metro CPS f\u2026 @URL	indirect
2493	@user @user Yes ChelseaI would if\nLOVE CNN &amp; others would stop constant coverage of this twat! It's\u2026 @URL	indirect
2512	If youngboy ain\u2019t have herpes &amp; wasn\u2019t slick retarded I\u2019d be ready to sit it on him.	indirect
3738	chuck person: eccojam a1 @URL #opn #toto @URL venue to play africa by toto on… @URL	indirect
1255	ching chong chow on this dong \u2014 Lol gay \nno ta @URL	indirect
2900	Oh fuck off you silly wetback cunt	direct
4118	I\u2019ll fucking rip off his eyes that motherfucker I\u2019ll bury him alive that little shit son of a bitch cunt whore al\u2026 @URL	indirect
1172	@user didn\u2019t koke call cris a \u201cfaggot\u201d	indirect
3720	@user Wait \shithole countries?\ I thought the Left believed all people cultures and countries were equ\u2026 @URL	indirect
3359	Never trust a faggot with an Android.	indirect
4256	The whole “it’s okay to be white” thing was created to expose those who hate white people inclu… @URL	indirect
830	Fag tax Friday faggot. Who\u2019s serving these size 11s @URL	indirect
1558	My homie Gloria just pulled up on me. My place finna be spic &amp; span folded drawers and all \ud83d\ude2d\ud83d\ude2d\ud83d\udd25\ud83d\udd25 I hate cleaning	indirect
3887	@user I left it because the guy was expecting us to do all the work so I left the faggot to it	direct
1003	- yeah i’m a bad person. a feminazi monster - doesn’t negate the facts.	indirect
3287	Kill yourself cunt!! @URL	direct
3017	@user @user @user @user @user The US is the shithole of the world only ignorant people ar\u2026 @URL	indirect
1719	@user @user She ain\u2019t GAF abt Puerto Rico gay black brown \u201cshithole countries\u201d\nwomen pussies...now she mad. \ud83d\ude44\ud83d\ude44\ud83d\ude44\ud83d\ude44\ud83d\ude44\ud83d\ude44	indirect
5272	@user You and Tyrone are retarded	indirect
5460	@user @user @user It's okay to be white	indirect
2138	hey @user you know what's the difference between you and a fucking faggot? the faggot isn't as gay as you'\u2026 @URL	indirect
5393	Bejarano is such a faggot	indirect
5324	This negro is crazyyyy How u know that many people to reach me on your behalf? Lmao. So you care care?	direct
2023	Last but certainly not least happy birthday @user KR thanks for being more mongy than me xxx @URL	indirect
479	@user Shut your face slap my ass and call me a dirty jew! IM STOKED!	indirect
5590	@user its no longer united states. it is trumpistan. shithole country. until nov 6 and later.... women and\u2026 @URL	indirect
2120	@user @user What else the tempest to me isn't as good anymore but ajax is straight retarded in this game\u2026 @URL	indirect
4205	@user R word? You mean retard?	indirect
5263	@user Not the leader of the free world anymore. What a twat. (Expletives suppressed.)	indirect
4534	@user @user He's a fucking racist attention seeking cunt.	indirect
4609	feminazi	indirect
3987	or it’s bc he’s sexually assaulted over 17 women rejected innocent muslim refugees mocked people with disabilitie… @URL	indirect
221	@user You turn around @user and go back to where you come from and give the Natives back what\u2026 @URL	indirect
1343	@user Absolute mongoloid rehatching old drama for the sake of views	indirect
3032	@user @user @user @user @user They are using him for likes don\u2019t be a retard lmao	indirect
781	@user Yeah... i thought he was trying to be sincere then he just well full retard. He's gotta clarify it up on what he meant.	indirect
393	@user If any liberal thinks our country is bad because of Trump take a look at the shithole countries that d\u2026 @URL	indirect
2411	Our coach is a fucking retard. @user	indirect
793	@user @user @user @user @user @user @user @user @user @user @URL	indirect
1680	What sort of mongy comes to a 2 and half hour train journey w no headphones . Cba	indirect
2454	@user Family guy holds no bars with stuff they say \ud83d\ude02 racist sexist the lot will never change because some ugly cunt complains about it	indirect
4711	Can you not be an annoying twat face? K thanks.	indirect
4753	@user i have retard strength	indirect
3034	I wanna see the Ozmate performance today ;; I feel awful for being stuck and poor in this shithole country\n\nI wanna\u2026 @URL	indirect
2786	@user @user What you some EGN admin? shut your fucken mouth cunt I don\u2019t give a fuck if it\u2019s ftp don\u2019t put t\u2026 @URL	direct
4583	\u201cWho\u2019s gonna save this shithole of a country once Trump leaves office?\u201d\n\u201cKanye\u201d \n~KTSADB	indirect
2475	@user Lol. People are retarded. She is one of the greats no doubt and she doesn\u2019t need to come to the U\u2026 @URL	indirect
3312	This @user faggot needs to get knocked out	direct
2366	You have them in support of illegal aliens. You have them enticing violence against the opposition (Republicans).Yo… @URL	indirect
2653	@user @user Hes just a hun who is good at computers. Ignore the twat	indirect
4044	@user @user @user again i say who? and if shes doing that shit down by 5 shes retarded	indirect
320	I hate retarded ass people bruh	indirect
517	@user @user @user ching chong ling ling	indirect
4408	@user He is a mass murderer who did not cross over with a caravan did not come from a \u201cshithole\u201d countr\u2026 @URL	indirect
3637	I just got called a nigger for the 3rd time this week already and it just started lol y’all wild	indirect
3391	His acting like a nigger rant is what showed me he was an idiot lol @URL	indirect
3595	Since must of Ohio is a shithole state. He wants the whole country to follow! @URL	indirect
1843	@user Good thing she lives in California! We need that money for all of our illegal aliens. At least 50% of… @URL	indirect
1657	@user Trampy little cunt chavvy \n\nCan't trust anyone even that sneaky Russian Peshy \ud83c\udd94\n\n\ud83d\ude02\ud83d\ude02	indirect
2443	@user @user Yelling ching chong is racist. Period.	indirect
3433	@user I know not related but @user is as retarded as Steven. Stay off the wall bruh!!	indirect
5443	If your dreams is to find 100% comfort in Christianity go back to where you come from. If your dream is to sit at\u2026 @URL	indirect
5126	the ching chong chung stuff @URL	indirect
3145	@user ..Knuckles you're a dirty ass nigger.	direct
1634	That right there is one reason All Patriotic Americans should carry a GUN on them!!! Don't let the illegal aliens… @URL	indirect
3841	@user ok retard	indirect
4405	There are public dinosaurs and private dinosaurs. And you're a faggot.	direct
3590	retard	indirect
5392	@user Share the wealth - as through history - the wealthy are pissing in the well - and will bring disease and destruction!!!	indirect
5109	@user Really sudden unexpected i will give chance ching chong	indirect
2194	@user \u201cPussy wetter than your back spic\u201d	direct
2153	@user @user @user since ur dumbass is fuckin retarded let me try and educate you a bit peop\u2026 @URL	indirect
4323	Fukem retard	indirect
2561	@user You guys gotta clean that up. It's gonna rot and bring disease.	indirect
5579	@user Please go back to your country. Disgraceful to start campaign against honest PM uptill now.	direct
5390	Y\u2019all started drinking yet or y\u2019all being faggot ass unicorn fairy\u2019s ?	direct
4591	@user I say banishment. Send Trump and people like to Trump to places like shithole countries in Africa Me\u2026 @URL	indirect
5358	When I was an RA someone posted “it’s okay to be white” posters everywhere and I ripped that shit down lol	indirect
4399	I'll donate a fiver if you call @user a Tory hating cunt. #StandUpToCancer @URL	indirect
5379	I know she didn’t just say “ what kind of curls “ boy she don’t know about negro hair	indirect
1500	Fuck this world and fuck this huge titted mongoloid @URL	indirect
2983	@user Suck my spic balls \ud83d\udd95	direct
5402	@user Bet the cunt was up all night banging away on his flute.\ud83e\udd23\ud83e\udd23	indirect
